ID,NAME,PARENT,YEAR,TOTAL,INCREASE,MIGRATION,CHANGE
1,LATVIA,,1990,2668140,3106,-13085,-9979
2,LATVIA,,1991,2658161,-116,-15045,-15161
3,LATVIA,,1992,2643000,-3851,-53474,-57325
4,LATVIA,,1993,2585675,-12438,-32333,-44771
5,LATVIA,,1994,2540904,-17501,-22823,-40324
6,LATVIA,,1995,2500580,-17336,-13713,-31049
7,LATVIA,,1996,2469531,-14538,-10081,-24619
8,LATVIA,,1997,2444912,-14703,-9420,-24123
9,LATVIA,,1998,2420789,-15790,-5751,-21541
10,LATVIA,,1999,2399248,-13448,-4085,-17533
11,LATVIA,,2000,2381715,-11903,-16428,-28331
12,LATVIA,,2001,2353384,-13265,-19163,-32428
13,LATVIA,,2002,2320956,-12371,-9195,-21566
14,LATVIA,,2003,2299390,-11286,-11584,-22870
15,LATVIA,,2004,2276520,-11473,-15323,-26796
16,LATVIA,,2005,2249724,-10898,-10952,-21850
17,LATVIA,,2006,2227874,-10227,-8807,-19034
18,LATVIA,,2007,2208840,-9084,-7946,-17030
19,LATVIA,,2008,2191810,-6609,-22367,-28976
20,LATVIA,,2009,2162834,-7853,-34477,-42330
21,LATVIA,,2010,2120504,-10259,-35640,-45899
22,LATVIA,,2011,2074605,-9715,-20077,-29792
23,LATVIA,,2012,2044813,-9128,-11860,-20988
24,LATVIA,,2013,2023825,-8095,-14262,-22357
25,LATVIA,,2014,2001468,-6720,-8652,-15372
26,LATVIA,,2015,1986096,-6499,-10640,-17139
27,LATVIA,,2016,1968957,-6612,-12229,-18841
28,LATVIA,,2017,1950116,-7929,-7808,-15737
29,LATVIA,,2018,1934379,-9506,-4905,-14411
30,LATVIA,,2019,1919968,0,0,0
31,RIGA,LATVIA,1990,909135,-273,-8407,-8680
32,RIGA,LATVIA,1991,900455,-1481,-9233,-10714
33,RIGA,LATVIA,1992,889741,-3101,-22983,-26084
34,RIGA,LATVIA,1993,863657,-6074,-14031,-20105
35,RIGA,LATVIA,1994,843552,-7326,-11238,-18564
36,RIGA,LATVIA,1995,824988,-6908,-7908,-14816
37,RIGA,LATVIA,1996,810172,-5361,-6864,-12225
38,RIGA,LATVIA,1997,797947,-5453,-5882,-11335
39,RIGA,LATVIA,1998,786612,-5511,-5093,-10604
40,RIGA,LATVIA,1999,776008,-5067,-4560,-9627
41,RIGA,LATVIA,2000,766381,-4627,-8748,-13375
42,RIGA,LATVIA,2001,753006,-4713,-9697,-14410
43,RIGA,LATVIA,2002,738596,-3821,-5557,-9378
44,RIGA,LATVIA,2003,729218,-3159,-4419,-7578
45,RIGA,LATVIA,2004,721640,-2982,-6396,-9378
46,RIGA,LATVIA,2005,712262,-2672,-2973,-5645
47,RIGA,LATVIA,2006,706617,-2468,-1588,-4056
48,RIGA,LATVIA,2007,702561,-2051,-3238,-5289
49,RIGA,LATVIA,2008,697272,-1372,-8457,-9829
50,RIGA,LATVIA,2009,687443,-1635,-12375,-14010
51,RIGA,LATVIA,2010,673433,-2303,-11712,-14015
52,RIGA,LATVIA,2011,659418,-2355,-7210,-9565
53,RIGA,LATVIA,2012,649853,-2182,-4056,-6238
54,RIGA,LATVIA,2013,643615,-1972,1725,-247
55,RIGA,LATVIA,2014,643368,-1472,-889,-2361
56,RIGA,LATVIA,2015,641007,-1243,-134,-1377
57,RIGA,LATVIA,2016,639630,-1159,2952,1793
58,RIGA,LATVIA,2017,641423,-1996,-1456,-3452
59,RIGA,LATVIA,2018,637971,-2423,-2934,-5357
60,RIGA,LATVIA,2019,632614,0,0,0
61,PIERIGA,LATVIA,1990,378728,1059,-1538,-479
62,PIERIGA,LATVIA,1991,900455,-1481,-9233,-10714
63,PIERIGA,LATVIA,1992,,,,
64,PIERIGA,LATVIA,1993,,,,
65,PIERIGA,LATVIA,1994,,,,
66,PIERIGA,LATVIA,1995,,,,
67,PIERIGA,LATVIA,1996,,,,
68,PIERIGA,LATVIA,1997,,,,
69,PIERIGA,LATVIA,1998,,,,
70,PIERIGA,LATVIA,1999,,,,
71,PIERIGA,LATVIA,2000,,,,
72,PIERIGA,LATVIA,2001,,,,
73,PIERIGA,LATVIA,2002,,,,
74,PIERIGA,LATVIA,2003,,,,
75,PIERIGA,LATVIA,2004,,,,
76,PIERIGA,LATVIA,2005,,,,
77,PIERIGA,LATVIA,2006,,,,
78,PIERIGA,LATVIA,2007,,,,
79,PIERIGA,LATVIA,2008,,,,
80,PIERIGA,LATVIA,2009,,,,
81,PIERIGA,LATVIA,2010,,,,
82,PIERIGA,LATVIA,2011,,,,
83,PIERIGA,LATVIA,2012,,,,
84,PIERIGA,LATVIA,2013,,,,
85,PIERIGA,LATVIA,2014,,,,
86,PIERIGA,LATVIA,2015,,,,
87,PIERIGA,LATVIA,2016,,,,
88,PIERIGA,LATVIA,2017,,,,
89,PIERIGA,LATVIA,2018,,,,
90,PIERIGA,LATVIA,2019,,,,
